x,Curve1
0.01873,0.43454
0.03072,0.85446
0.04638,1.10724
0.05977,1.19499
0.08211,1.0007
0.09745,0.93802
0.11367,0.85655
0.12479,0.78969
0.13927,0.73538
0.15204,0.69568
0.16224,0.66852
0.17922,0.63928
0.19108,0.6351
0.20125,0.62674
0.21818,0.63092
0.2292,0.6163
0.24272,0.6351
0.2571,0.63719
0.26978,0.64763
0.28157,0.68315
0.30862,0.70822
0.33139,0.75836
0.34996,0.78969
0.36096,0.79387
0.37274,0.83565
0.40143,0.88579
0.41409,0.91086
0.42673,0.94429
0.44106,0.97772
0.45202,1.00487
0.46552,1.02994
0.48072,1.05501
0.50427,1.14276
0.51776,1.17409
0.52956,1.20752
0.54646,1.22632
0.55659,1.24095
0.5693,1.23468
0.58285,1.22841
0.59725,1.22214
0.61423,1.19708
0.62189,1.17201
0.63632,1.14694
0.64566,1.13022
0.66265,1.09262
0.67711,1.05501
0.68819,1.00696
0.70347,0.98189
0.71535,0.96518
0.72894,0.94011
0.74339,0.90251
0.75606,0.92131
0.76623,0.91086
0.7781,0.90042
0.79166,0.89415
0.80433,0.90877
0.82042,0.9046
0.83481,0.9046
0.84415,0.88997
0.86102,0.92549
0.87628,0.91086
0.88728,0.91086
0.89827,0.91922
0.91347,0.94638
0.92702,0.94011
0.93801,0.95056
0.95406,0.96727
0.96672,0.99234
0.97767,1.02368
0.9946,1.02368
1.00304,1.04039
1.01987,1.09471
1.03256,1.09889
1.04527,1.09471
1.06049,1.10306
1.06645,1.08635
1.08171,1.06964
1.09523,1.08635
1.10962,1.08217
1.12063,1.08008
1.13501,1.08635
1.14521,1.06546
1.1613,1.0571
1.17821,1.06964
1.20197,1.0383
1.21726,1.00279
1.22826,1.00696
1.23929,0.99025
1.25455,0.97772
1.26898,0.95682
1.27832,0.93802
1.29442,0.92967
1.30628,0.92131
1.31729,0.9234
1.33505,0.93175
1.34688,0.94011
1.35706,0.92967
1.36888,0.95056
1.38073,0.94847
1.3951,0.95891
1.41118,0.96518
1.43904,1.00487
1.44751,1.00279
1.4619,1.00279
1.47373,1.01741
